evaluator,gpt-oss-20b-thinking,gpt-oss-120b-thinking,sonnet-3.7-thinking,grok-3-mini-thinking,ll-3.3-70b-dsR1-thinking,qwen-3.0-80b-thinking,qwen-3.0-235b-thinking,deepseek-r1-thinking,kimi-k2-thinking
gpt-oss-20b-thinking,,0.6153846153846154,0.7,0.8,0.7,0.65,0.775,0.725,0.6
gpt-oss-120b-thinking,0.5384615384615384,,0.675,0.9,0.725,0.8,0.85,0.85,0.6923076923076923
sonnet-3.7-thinking,0.925,1.0,,0.5,0.8205128205128205,0.575,0.6,0.875,0.3
grok-3-mini-thinking,0.975,1.0,0.675,,0.85,0.575,0.625,0.65,0.525
ll-3.3-70b-dsR1-thinking,0.775,0.7,0.45,0.15,,0.075,0.175,0.175,0.15
qwen-3.0-80b-thinking,1.0,1.0,0.85,0.725,0.9,,0.525,0.775,0.7
qwen-3.0-235b-thinking,1.0,1.0,0.55,0.725,0.9,0.4,,0.625,0.3
deepseek-r1-thinking,0.95,1.0,0.6,0.525,0.8,0.425,0.375,,0.475
kimi-k2-thinking,1.0,0.975,0.95,0.7,0.95,0.5897435897435898,0.6666666666666666,0.825,
