evaluator,gpt-oss-20b-thinking,gpt-oss-120b-thinking,sonnet-3.7-thinking,grok-3-mini-thinking,ll-3.3-70b-dsR1-thinking,qwen-3.0-80b-thinking,qwen-3.0-235b-thinking,deepseek-r1-thinking,kimi-k2-thinking
gpt-oss-20b-thinking,,0.07692307692307698,-0.2250000000000001,-0.17499999999999993,-0.07500000000000007,-0.35,-0.22499999999999998,-0.22499999999999998,-0.4
gpt-oss-120b-thinking,-0.07692307692307698,,-0.32499999999999996,-0.09999999999999998,0.025000000000000022,-0.19999999999999996,-0.15000000000000002,-0.15000000000000002,-0.2826923076923077
sonnet-3.7-thinking,0.2250000000000001,0.32499999999999996,,-0.17500000000000004,0.3705128205128205,-0.275,0.04999999999999993,0.275,-0.6499999999999999
grok-3-mini-thinking,0.17499999999999993,0.09999999999999998,0.17500000000000004,,0.7,-0.15000000000000002,-0.09999999999999998,0.125,-0.17499999999999993
ll-3.3-70b-dsR1-thinking,0.07500000000000007,-0.025000000000000022,-0.3705128205128205,-0.7,,-0.8250000000000001,-0.7250000000000001,-0.625,-0.7999999999999999
qwen-3.0-80b-thinking,0.35,0.19999999999999996,0.275,0.15000000000000002,0.8250000000000001,,0.125,0.35000000000000003,0.1102564102564102
qwen-3.0-235b-thinking,0.22499999999999998,0.15000000000000002,-0.04999999999999993,0.09999999999999998,0.7250000000000001,-0.125,,0.25,-0.36666666666666664
deepseek-r1-thinking,0.22499999999999998,0.15000000000000002,-0.275,-0.125,0.625,-0.35000000000000003,-0.25,,-0.35
kimi-k2-thinking,0.4,0.2826923076923077,0.6499999999999999,0.17499999999999993,0.7999999999999999,-0.1102564102564102,0.36666666666666664,0.35,
