evaluator,gpt-oss-20b-thinking,gpt-oss-120b-thinking,sonnet-3.7-thinking,grok-3-mini-thinking,ll-3.3-70b-dsR1-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking,kimi-k2-thinking
gpt-oss-20b-thinking,,0.7115384615384616,0.6730769230769231,0.7450980392156863,0.7307692307692307,0.6923076923076923,0.6153846153846154,0.6730769230769231
gpt-oss-120b-thinking,0.8,,0.5384615384615384,0.5384615384615384,0.6346153846153846,0.6470588235294118,0.5961538461538461,0.5576923076923077
sonnet-3.7-thinking,0.4423076923076923,0.4423076923076923,,0.5576923076923077,0.4807692307692308,0.49019607843137253,0.40384615384615385,0.5384615384615384
grok-3-mini-thinking,0.5384615384615384,0.4807692307692308,0.6538461538461539,,0.6538461538461539,0.8076923076923077,0.8076923076923077,0.7884615384615384
ll-3.3-70b-dsR1-thinking,0.75,0.6862745098039216,0.7115384615384616,0.8627450980392157,,0.8269230769230769,0.803921568627451,0.7254901960784313
qwen-3.0-80b-thinking,0.5686274509803921,0.5769230769230769,0.5769230769230769,0.5384615384615384,0.5192307692307693,,0.5384615384615384,0.6346153846153846
deepseek-r1-thinking,0.6538461538461539,0.5961538461538461,0.8076923076923077,0.8076923076923077,0.7692307692307693,0.8076923076923077,,0.8461538461538461
kimi-k2-thinking,0.5576923076923077,0.5192307692307693,0.5,0.7843137254901961,0.6730769230769231,0.7551020408163265,0.7692307692307693,
