evaluator,sharegpt/english_26+english2_74
gpt-4o-mini,0.514264705882353
gpt-4.1-mini,0.5392194570135747
gpt-4o,0.5300964197121234
gpt-4.1,0.5547058823529412
haiku-3.5,0.5139469782433521
sonnet-3.7,0.550464705882353
sonnet-4.5,0.5623907425562427
opus-4.1,0.5738790491539081
gemini-2.0-flash-lite,0.5160294117647058
gemini-2.0-flash,0.5523529411764706
ll-3.1-8b,0.4041176470588235
ll-3.1-70b,0.4811990950226244
ll-3.1-405b,0.483631221719457
qwen-2.5-7b,0.499366515837104
qwen-2.5-72b,0.5133371040723982
qwen-3.0-80b,0.553631221719457
deepseek-3.1,0.5191176470588235
kimi-k2,0.5739388696655132
