evaluator,gpt-oss-20b-thinking,gpt-oss-120b-thinking,sonnet-3.7-thinking,grok-3-mini-thinking,ll-3.3-70b-dsR1-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking,kimi-k2-thinking
gpt-oss-20b-thinking,,0.9230769230769231,0.8461538461538461,0.9230769230769231,0.7692307692307693,0.9038461538461539,0.9230769230769231,0.8461538461538461
gpt-oss-120b-thinking,0.8846153846153846,,0.8653846153846154,0.8269230769230769,0.7692307692307693,0.75,0.8461538461538461,0.8269230769230769
sonnet-3.7-thinking,0.4807692307692308,0.5192307692307693,,0.5,0.5,0.46153846153846156,0.4230769230769231,0.5490196078431373
grok-3-mini-thinking,0.8269230769230769,0.8461538461538461,0.6346153846153846,,0.5769230769230769,0.8076923076923077,0.8076923076923077,0.7884615384615384
ll-3.3-70b-dsR1-thinking,0.72,0.5686274509803921,0.7307692307692307,0.6153846153846154,,0.6538461538461539,0.6538461538461539,0.6730769230769231
qwen-3.0-80b-thinking,0.6346153846153846,0.6730769230769231,0.5490196078431373,0.6666666666666666,0.5576923076923077,,0.7307692307692307,0.7058823529411765
deepseek-r1-thinking,0.75,0.7115384615384616,0.6923076923076923,0.8653846153846154,0.6153846153846154,0.75,,0.7692307692307693
kimi-k2-thinking,0.84,0.7755102040816326,0.64,0.86,0.5576923076923077,0.7608695652173914,0.72,
