evaluator,deviation
gpt-4o-mini,0.07205882352941173
gpt-4.1-mini,0.01735294117647057
gpt-4o,0.05359807890767643
gpt-4.1,0.13117647058823534
haiku-3.5,0.0676470588235294
sonnet-3.7,0.1785218702865763
sonnet-4.5,0.09705882352941186
opus-4.1,0.18999494731692868
gemini-2.0-flash-lite,-0.25617647058823534
gemini-2.0-flash,-0.004117647058823559
ll-3.1-8b,-0.07294117647058818
ll-3.1-70b,0.003529411764705892
ll-3.1-405b,-0.00794117647058823
qwen-2.5-7b,0.06058823529411761
qwen-2.5-72b,0.11029411764705888
qwen-3.0-80b,0.0052941176470587825
deepseek-3.1,0.013823529411764679
kimi-k2,0.08000000000000007
