evaluator,deviation
gpt-4o-mini,0.004117647058823559
gpt-4.1-mini,0.01764705882352946
gpt-4o,0.09941176470588231
gpt-4.1,0.10764705882352943
haiku-3.5,0.057352941176470607
sonnet-3.7,0.13470588235294123
sonnet-4.5,0.11205882352941177
opus-4.1,0.15364253393665162
gemini-2.0-flash-lite,-0.3035294117647059
gemini-2.0-flash,0.01588235294117646
ll-3.1-8b,-0.3261764705882353
ll-3.1-70b,0.01558823529411768
ll-3.1-405b,-0.03735294117647059
qwen-2.5-7b,0.06058823529411761
qwen-2.5-72b,0.10235294117647054
qwen-3.0-80b,0.019117647058823573
deepseek-3.1,0.07882352941176474
kimi-k2,0.1399999999999999
