evaluator,wikisum/training_set_1-20+test_set_1-30,sharegpt/english_26+english2_74,pku_saferlhf/mismatch_1-20+test_mismatch_1-20+test-mismatch_10_100-200,bigcodebench/instruct_1-50
gpt-oss-120b-thinking,0.7609811396525789,0.6832885665210612,0.3955903445821334,0.7693652345960729
opus-4.1-thinking,0.7107364685004436,0.7400123467677926,0.8799999999999999,0.795537988581467
gemini-2.5-pro-thinking,0.8007985803016859,0.862333980068789,0.9221739130434784,0.8982608695652174
qwen-3.0-80b-thinking,0.6764362013259767,0.8202344239644883,0.8913043478260869,0.4973473869126043
deepseek-r1-thinking,0.5713984930744589,0.655545909398242,0.7608695652173914,0.5110759771629337
kimi-k2-thinking,0.6282766484845125,0.7337554872604919,0.8583083964090829,0.7711530288912267
