evaluator,deviation
gpt-4o-mini,0.014264705882352957
gpt-4.1-mini,0.03838235294117642
gpt-4o,0.0300964197121234
gpt-4.1,0.05470588235294116
haiku-3.5,0.013946978243352115
sonnet-3.7,0.05046470588235297
sonnet-4.5,0.06055599390441113
opus-4.1,0.07387904915390808
gemini-2.0-flash-lite,0.016029411764705848
gemini-2.0-flash,0.0523529411764706
ll-3.1-8b,-0.09676470588235297
ll-3.1-70b,-0.021911764705882353
ll-3.1-405b,-0.016617647058823515
qwen-2.5-7b,-0.0011764705882353343
qwen-2.5-72b,0.012647058823529456
qwen-3.0-80b,0.051911764705882324
deepseek-3.1,0.01911764705882346
kimi-k2,0.07320357554786616
