evaluator,gpt-oss-20b-thinking,gpt-oss-120b-thinking,sonnet-3.7-thinking,grok-3-mini-thinking,ll-3.3-70b-dsR1-thinking,qwen-3.0-80b-thinking,qwen-3.0-235b-thinking,deepseek-r1-thinking,kimi-k2-thinking
gpt-oss-20b-thinking,,0.8421052631578947,0.7894736842105263,0.8421052631578947,0.6842105263157895,0.6578947368421053,0.868421052631579,0.7631578947368421,0.8421052631578947
gpt-oss-120b-thinking,0.8378378378378378,,0.8421052631578947,0.8157894736842105,0.6052631578947368,0.631578947368421,0.7027027027027027,0.6842105263157895,0.8421052631578947
sonnet-3.7-thinking,0.75,0.782608695652174,,0.47368421052631576,0.85,0.5909090909090909,0.6052631578947368,0.7272727272727273,0.5555555555555556
grok-3-mini-thinking,0.868421052631579,0.9473684210526315,0.8947368421052632,,0.5789473684210527,0.6486486486486487,0.7368421052631579,0.6578947368421053,0.9210526315789473
ll-3.3-70b-dsR1-thinking,0.7105263157894737,0.7105263157894737,0.6842105263157895,0.6052631578947368,,0.7368421052631579,0.6052631578947368,0.6578947368421053,0.631578947368421
qwen-3.0-80b-thinking,0.65625,0.625,0.6285714285714286,0.7027027027027027,0.7105263157894737,,0.3888888888888889,0.6285714285714286,0.5428571428571428
qwen-3.0-235b-thinking,0.7631578947368421,0.7894736842105263,0.8947368421052632,0.7105263157894737,0.868421052631579,0.5263157894736842,,0.8157894736842105,0.6842105263157895
deepseek-r1-thinking,0.7894736842105263,0.5789473684210527,0.7105263157894737,0.7105263157894737,0.6052631578947368,0.6052631578947368,0.7368421052631579,,0.631578947368421
kimi-k2-thinking,0.8846153846153846,0.8636363636363636,0.8333333333333334,0.9629629629629629,0.7419354838709677,0.6451612903225806,0.8108108108108109,0.7407407407407407,
